Cname,SPM_mgL,waterFlow_m3_s,T_K,flowVelocity_m_s,G,Cvolume_m3,Cdepth_m,CsurfaceArea_m2,
Ocean_Surface_Water,1,6.71E+07,278,0.03,1,1.63E+15,5,3.26E+14,
Ocean_Mixed_Water,1,4.47E+08,278,0.01,1,3.26E+16,100,3.26E+14,
Ocean_Column_Water,1,0,278,0,1,1.31E+18,4000,3.26E+14,
Coast_Surface_Water,7,6.71E+07,278,0.06,10,6.71E+13,2.5,2.68E+13,
Coast_Column_Water,7,4.47E+08,278,0.02,1,1.34E+15,50,2.68E+13,
Surface_Freshwater,30,1.18E+05,278,0.1,10,9.05E+12,1,9.05E+12,
Bulk_Freshwater,30,1.18E+06,278,0.1,10,9.05E+13,10,9.05E+12,
Sediment_Freshwater,nan,nan,nan,nan,nan,9.05E+11,0.1,9.05E+12,
Sediment_Ocean,nan,nan,nan,nan,nan,9.79E+12,0.03,3.26E+14,
Sediment_Coast,nan,nan,nan,nan,nan,2.68E+12,0.1,2.68E+13,
Beaches_Soil_Surface,nan,nan,nan,nan,nan,3.44E+03,0.01,3.44E+05,
Beaches_Deep_Soil,nan,nan,nan,nan,nan,3.44E+04,0.1,3.44E+05,
Background_Soil_Surface,nan,nan,nan,nan,nan,8.73E+11,0.01,8.73E+13,
Background_Soil,nan,nan,nan,nan,nan,8.73E+12,0.1,8.73E+13,
Impacted_Soil_Surface,nan,nan,nan,nan,nan,6.07E+11,0.01,6.07E+13,
Impacted_Soil,nan,nan,nan,nan,nan,6.07E+12,0.1,6.07E+13,
Air,nan,nan,nan,4,nan,3.06E+18,6000,5.10E+14,
